"ID","comment","updated_at","like_count","sentiment"
"0","نفس شي مع la win
تقولو فيسبوك مجاني ....بصح غير يخلاصو لجيغا متقدرش تتفرج فيديوهات","2022-03-30T16:54:00Z","3","1"
"1","غير نلقاو الكونيكسيو و من بعد ساهل","2022-03-30T16:23:00Z","2","1"
"2","نقدر نحول مبتسم تاعي ل سما","2022-03-30T17:08:00Z","0","0"
"3","نسقسيكم برك كان عندي 16 نيوم ملي فليكسيت 1000 دج و اكتيفيت لاوين 650 دج درك لقيت 1 دج 350دج وين راحو ماني دايرة لا رنتي لا هم يحزنون وين راحو دراهمي","2022-03-30T16:54:00Z","2","1"
"4","علاه تخلو الناس تفليكسي 🙄من بعد تدولهم كيما انا منيش دايرة رناتي و كلما نفليكسي تدولي 🙄 ؟!!","2022-03-31T14:15:00Z","2","1"
"5","كي تعود الكنكسيون عندكم خفيفة ساعتها ديرو عروض","2022-03-30T17:01:00Z","1","1"
"6","موبيليس العاصمة شرق راهي تعاني من ريزو انترنت راهي ماكانش","2022-03-30T16:05:00Z","0","1"
"7","حنا لاوين و كلمتين ترودوهالنا ب مئة ألف","2022-03-30T23:231:00Z","0","1"
"8","من فضلكم حابا نردها piXx ديرولنا حل ما عجبتنيش سما هذي","2022-03-31T23:41:00Z","0","0"
"9","كتيفيت 1000دج وخلاصولي لي جيڨا قبل لوقت كيفاش نعاود نأكتيفي","2022-03-31T20:28:00Z","1","0"
"10","اصلاح الشبكة اولى.","2022-03-31T17:23:00Z","0","1"
"11","على وجه ربي اعدلو الانترنت تاعكم","2022-03-30T16:20:00Z","0","1"
"12","رحمة على الوالدين حسنولنا خدمة الإنترنت راهي شبه منعدمة في مدينة بها أكثر من 60000 نسمة ، الذرعان ولاية الطارف","2022-03-30T17:18:00Z","0","1"
"13","دير كوبي كولي راهم حڨرونا وحنا جامي نسكتوا على حقنا ⁦🇩🇿⁩⁦🇩🇿⁩
في تصفيات 2018 تمت إعادة مباراة السنغال بسبب ظلم السنغال تحكيميا
الهاشتاغ
#Algeria_and_Cameroon_match_unjust_Bring_us_back_the_match_Where_is_FIFA_
#نطالب_الفيفا_بإعادة_المباراة
فعلو هذا الهاشتاغ","  2022-03-30T16:10:00Z","3","1"
"14","Ana mein activit forfait sama hada mmakanch Kamel cnnx youtube makach les photos f Facebook makach cnnx t9ila es ce que n9dro n3awdo nrdj3o le forfait pix","  2022-03-31T17:39:00Z","0","1"
"15","ير سڨموا 4G و الريزو ومن بعد ديروا العروض","  2022-04-01T22:06:00Z","1","1"
"16","موبيليس تحسين الشبكة .وبعدين كثروا العروض","  2022-03-31T11:50:00Z","0","1"
