text,label_raw,source_dataset,label
نفس شي مع la win تقولو فيسبوك مجاني ....بصح غير يخلاصو لجيغا متقدرش تتفرج فيديوهات,1,dataset_2,0
غير نلقاو الكونيكسيو و من بعد ساهل,1,dataset_2,0
نقدر نحول مبتسم تاعي ل سما,0,dataset_2,1
نسقسيكم برك كان عندي 16 نيوم ملي فليكسيت 1000 دج و اكتيفيت لاوين 650 دج درك لقيت 1 دج 350دج وين راحو ماني دايرة لا رنتي لا هم يحزنون وين راحو دراهمي,1,dataset_2,0
علاه تخلو الناس تفليكسي 🙄من بعد تدولهم كيما انا منيش دايرة رناتي و كلما نفليكسي تدولي 🙄 ؟!!,1,dataset_2,0
كي تعود الكنكسيون عندكم خفيفة ساعتها ديرو عروض,1,dataset_2,0
موبيليس العاصمة شرق راهي تعاني من ريزو انترنت راهي ماكانش,1,dataset_2,0
حنا لاوين و كلمتين ترودوهالنا ب مئة ألف,1,dataset_2,0
من فضلكم حابا نردها piXx ديرولنا حل ما عجبتنيش سما هذي,0,dataset_2,1
كتيفيت 1000دج وخلاصولي لي جيڨا قبل لوقت كيفاش نعاود نأكتيفي,0,dataset_2,1
اصلاح الشبكة اولى.,1,dataset_2,0
على وجه ربي اعدلو الانترنت تاعكم,1,dataset_2,0
رحمة على الوالدين حسنولنا خدمة الإنترنت راهي شبه منعدمة في مدينة بها أكثر من 60000 نسمة ، الذرعان ولاية الطارف,1,dataset_2,0
دير كوبي كولي راهم حڨرونا وحنا جامي نسكتوا على حقنا ⁦🇩🇿⁩⁦🇩🇿⁩ في تصفيات 2018 تمت إعادة مباراة السنغال بسبب ظلم السنغال تحكيميا الهاشتاغ #Algeria_and_Cameroon_match_unjust_Bring_us_back_the_match_Where_is_FIFA_ #نطالب_الفيفا_بإعادة_المباراة فعلو هذا الهاشتاغ,1,dataset_2,0
Ana mein activit forfait sama hada mmakanch Kamel cnnx youtube makach les photos f Facebook makach cnnx t9ila es ce que n9dro n3awdo nrdj3o le forfait pix,1,dataset_2,0
ير سڨموا 4G و الريزو ومن بعد ديروا العروض,1,dataset_2,0
موبيليس تحسين الشبكة .وبعدين كثروا العروض,1,dataset_2,0
ياموبيليس نتوما الراعي الرسمي تكلمونا مع رئيس الفدرالية يقدم الشكوى,0,dataset_2,1
كون ماكتيفي تع شهر هدرة وانثرنات ومبعد حولتها لسما راهلي أنثرنات ومبقاتلي غير الهدرة والفايسبوك,1,dataset_2,0
عرض سما 1000 دج خلاصت في عشرين يوم انترنيت فيس بوك غير مجاني من فضلكم رجعولي عرض بيكس كنت نكمل بيها شهر مرتاح,1,dataset_2,0
عروض غير هي بصح كونكسيو ثقيلة ريزو يروح و يولي 😐,1,dataset_2,0
Yehdikoum rebi cox !?,1,dataset_2,0
و الأنترنت صفر فيديو فيه 10 ثواني ساعة باش نشوفو ، حسنوا الكونكسيو و بركا ما تخرطو علينا …,1,dataset_2,0
غير لخرطي اكتيفيت 50 الف ساما نات يمشيلي غير لفيسبوك,1,dataset_2,0
يا موبيليس علاش مادرتوش في سما عرض خمسالاف ماكتيفيا، انا رجعولي عرض مبتسم ماعجبتنيش سما مافيهاش تاه خمسالاف,1,dataset_2,0
خاوتي كونيكسيو في موبيليس مكانش و لا كيفاه راني ماكتيفي تاع 2000 نات 90 جيقا و كونيكسيو مكانش ملقري تلفون جديد و نقطة اتصال صحيحة و مشكل في الكاميرون كونيكتيت عادي و هنا والو,1,dataset_2,0
Aya GUe Ta3 100 alaf kachma jdid fiha fi ramdhan,0,dataset_2,1
A première vue ça l air la Meilleure offre sur le marché algerien Reste a vérifier la qualité de ce service Bonne continuation,2,dataset_2,2
هكذا تعجبني موبيليس 💪😎❤,2,dataset_2,2
انا عندي Win contrôle 1300 تسمى واش ندير بيها درك نزيد 200دج و نكتيفي 30جيڤا مركومش تشوفو بلي كاين خلل في الحساب,0,dataset_2,1
La cnx 15gega rahat fi 3jours c anormal,1,dataset_2,0
انا تخدعت في هذا العرض اليوم شريت puce جديدة مع العرض تاع سما ومالقيت لا انترنت لا والو,1,dataset_2,0
كوناكسيو تحسب رانا مزال بل 2G وتخلاص في سيمانا ههه,1,dataset_2,0
حبيت نعرف حاجة و هاديك تع 100 الف و 15 جيڨا يكي بخلاصو يبقى يمشي الفايسبوك,0,dataset_2,1
الكونيكسيو تاعها طلع فيسبوك لايت تديلك 20 جيڨا,1,dataset_2,0
110 kbps يرحم باباك وش تدير بيها,1,dataset_2,0
المشكل فالتغطية رانا مزولنا بعاد خخخ,1,dataset_2,0
مجانية الفيسبوك بعد استهلاك العرض .. هي سبب رئيسي وراء نفور المشتركين و سخطهم من عرض سما خطأ كبير وجب تداركه .,1,dataset_2,0
اجماعة ننصحك والله والله ما راهي باهية في نهارين تكمل وداروها بذمة كيما تعمل شريحة سما متقدرش ترجعها,1,dataset_2,0
يا ناس ذا عرض خدعة تع سما ..لي عندو توب ولا بيكس تروحلكم ومتقدروش ترجعو اوياكم منهم عروضهم تزداد سوءا,1,dataset_2,0
اليوم ذهبت عند موبيليس باش نشري بيس قعدت 3سوايع وانا نقارع ومبعد قالولي منبيعوش برخسة سياقة املا خليتهالكم,1,dataset_2,0
C'est beaucoup trop cher et la connexion est nulle,1,dataset_2,0
انا عجبني عرض 1000 نت,2,dataset_2,2
المشكل لاوين لازم تزيدولن ف الانترنت رانا نسلكو 130الف متمدولنا غير 15G قليلة لازم تزدولنا شوي,2,dataset_2,2
عرض مليح,0,dataset_2,1
اذا قمت بتحويل من top4G الى sama هل يمكنني الرجوع الى العرض الاول top4G,0,dataset_2,1
انا بدلت العرض تاعي من pix الى sama وفليكسيت 1000 .. ملحقتنيش قلت بالاك بعتهالي ماكتيفيا pix ؟ واش ندير,0,dataset_2,1
لكن التغطية ضعيفة في دائرة اشمول ولاية باتنة لقد راسلناكم عشرات المرات المشكل الهوائي الرئيسي المسمى ادارت بعيد عن المدينة والهواىي المتواجد في المدينة ليس سوى عمود للكهرباء وليس عاليا كما هو الحال ولكم واسع النظر,1,dataset_2,0
أعيد و أكرر الشبكة ضعييفة الهاتف والشريحة من الجيل الرابع ولكن الخدمة النت بمستوى الجيل الثاني وكل المعلومات الشخصية متوفرة في الخاص ولا داعي لإعادة طرحها وشكرا,1,dataset_2,0
واش نكونيكتي من البارح والريزو ماكاش شوية ريح راح كلش في سيدي موسى,1,dataset_2,0
نظن لقيت الحل تع التدفق الضعيف، دخلت فالاعدادات تع الهاتف و ديرو واش نقلكم: Paramètres Connexion Réseau mobile Noms des points d accès et vous cocher sur mobilis internet après vous enregistrer Redémarrer le tel,0,dataset_2,1
نصيحة لي مزال مااكتفيهاش غير ميديرهاش أكبر حشوة Pixx أفضل منها بألف مرة,1,dataset_2,0
بأذن الله نبدل ل اووريدو لاني نستعمل بزاف الإنترنت موبيليس ناقصة بزاف فالتغطية وكارثة عظمى عرض سما:عالي التدفق =يعني 90 go هذيك تخلاصلك في سمانة قبل ماتستعملها,1,dataset_2,0
ومبعد الكونيكسيون سلحفاة وفي آخر الشهر تلقى مزالك 88 جيغا,1,dataset_2,0
كان ندير هاذ العرض تنعكس لحالة نولي نهدر بزاف ونكونكتي شوية,2,dataset_2,2
عرض pix دايرين الفيس بوك باطل من بداية دفعك للشهر اي كي تكون فالفيس وتتفرج ولو فلم ساعتين متاكلش كونكسيو,1,dataset_2,0
افضل عرضpixx شفتو في حياتي,2,dataset_2,2
انا تبانلي موبيليس خير من لخدمات لوخرين كما اوريدو كل عام يزيدو ينقصولك فالجيغات تديها جديدة تعمر 1500الف يعطوك 50جيغا لعام جاي تولي تنقص ذيك 50,1,dataset_2,0
"de pire en pire, on arrive même pas à lire les commentaires alors youtube faut même pas en rêver",1,dataset_2,0
علاه سرقتولي سبعلاف البارح,1,dataset_2,0
الكونيكسيو تاعكم خرية,2,dataset_2,2
أنا نخدم بيه مليح,2,dataset_2,2
Ooredoo Switch مليحة أني نخدم بيها,2,dataset_2,2
افليكسي،1500 فالأوريدو 40 جيڨا تشدلك شهر,0,dataset_2,1
انا درتها التدفق مليح و حاليا راني مفعلة تاع sama net 1500 da فيها 60Go,2,dataset_2,2
بالنسبة ليا اوريدوو ذا باست مأكيتيفي عرض نتااع YOOZ 30gb ب 150دقيقة كلش ب150 الفايس و اليوتيوب باطل,2,dataset_2,2
اوريدو يوز 150الف. 30جيقا وفيسبوك مجاني وسرعة تدفق عالية وفيسبوك مجاني منذ البداية وليس بعد ماتكمل ليجيقا وزيد يكمل شهر وليجيقا يبقوا حتى ولو تخدم 24سا,2,dataset_2,2
افضل عرض حاليا في الجزائر اوريدو سويتش 150الف ..يعطوك 50جيغا +150الف هدرة +سرعة تدفق عالي,2,dataset_2,2
Vive oredoo la Switch,2,dataset_2,2
أوريدو 50جيغا تشدلك وكونيكسيون مليحة,2,dataset_2,2
احسن عرض في موبيليس هو pix,2,dataset_2,2
بصح واشمن فايدة إذا التدفق ضعيف لوكان يعطيك حتى 1000جيقا والأنترنت ضعيفة مادرنا والو,1,dataset_2,0
المشكل مكانش الريزو راني فلكسيت بصح متمشيليش دورتها لجيزي قراتوي,1,dataset_2,0
المشكل تاعهم فالريزو مكانش و التدفق فرشة .. ماشي فالپاك,1,dataset_2,0
مليح العرض هاذا,2,dataset_2,2
سرقة كبيرة. ماننصحكمش ديروها,1,dataset_2,0
عندي 4 جيجا وتكفيني شهر كامل .. لماذا ؟ لاني لا اكونيكتي بزاف ؟ لا .. لان التدفق بطئ .. لا يكفي لاستهلاك 4 جيجا مع الاتصال المستمر .. هل احتاج 90 جيجا ؟ نعم .. هل يمكنني الاستفادة منها ؟ لا .. .,1,dataset_2,0
عرض sama يستهلك الانترنت بطريقة عجيبة لي شراها باصا,1,dataset_2,0
المشكل دائما في شبكة الأنترنت الضعيفة,1,dataset_2,0
J'ai opté pour Djezzy depuis qlq mois .. je préfère djezzy,1,dataset_2,0
علاه كي نشريو البيس تقولوا 20 جيغا وكي تولي عندها شهرين تقلبوها 8 جيقا حراام عليكم والله,1,dataset_2,0
عرض جيد جدا,2,dataset_2,2
جربته العرض لكن سريع الانتهاء جربوا ديرولنا تطبيق كيما تاع يووز يساعد المستهلك أكثر خاصة الي كيفي يحبوا خدمات موبيليس,1,dataset_2,0
عرض مليح لوكان ترجعوه للشهر ماشي 15 يوم,2,dataset_2,2
اقسم بالله درتها ثقيلة مبغاتش تمشي ليا,1,dataset_2,0
بالعكس pix احسن من سما نفس العروض نفس الفليكسي فقط تغيير في الاسم الاولى prix والثاني sama الحجم لم يتغير زيد أن الفيسبوك يحتسب مع 15 جيفا الممنوحة يعني ما درتو والو تهفو في الناس وفقط,1,dataset_2,0
Mliha lokan fiha YouTube batel,1,dataset_2,0
ديروها تبعث مكتيفيا رانا كرهنا,1,dataset_2,0
عمركم ولا تجيبوا حاجة زينة ،دائما تكعلوها في حاجة و زيد الشبكة راها زيرو ،ريڨلو رواحكم راه رمضان لواحد يعود يتقلق ولا,1,dataset_2,0
واش الفايدة كي تعمر شهر ب30 جيجا والريزو ماكانش او شبه مكانش كي شغل راك توهب دراهمك لجماعة صدكة صدكة في سبيل الله,1,dataset_2,0
مايمشي لا مسنجر لايوتيوب لاڨوڨل 🙂🙂,1,dataset_2,0
على الكونيكسيو زينة لي فيها و زيد ليجيغا يكملو بلخف انا في 3 ايام راحت 12 جيغا تبقى حاير الله غالب الوقت الحالي بسيف عليا نمشي بموبيليس بصحتكم و صاي,1,dataset_2,0
