text,label,label_raw,source_dataset,emoji_flag
ريقلونا الريزو ربي يهديكم منطقة الشفة ولاية لبليدة ريزو ضعييف جدا,1,1.0,dataset_3,0
3endi Djezzy spécial mais a chaque fois nherek el tel mayekhredj walou,1,0.0,dataset_1,0
على ديك الكونكسيو العيانة حسنوا شوية الخدمة تاع الانترنيت,0,-1.0,dataset_1,0
وهذي لهجة ماشي لغة العربية,1,0.0,dataset_1,0
شكرا شكراا 👍,2,2.0,dataset_3,1
كيف تحول 100da من شريحة جازي إلى شريحة جازي أخرى ؟,1,0.0,dataset_1,0
نتمنى تجاوبني كيفاش الجزائري يتزوج بكندية باش يهاجر لكندا <br>ولا ادا درت فيديو عليه اعطيلي رابط تاعو <br>ربي يحفظك,0,0.0,dataset_3,0
معليش فكنا برك,1,0.0,dataset_1,0
انا عندي جيزي هبال، جامي شفت مشكل وانترنت عندنا في عين البيضاء ام وحتى كنت في كيف كيف مليحة لاباس,2,2.0,augmented,0
في عرض سما نت الهدرة مع موبيليس مع موبيليس غير محدودة,2,2.0,augmented,0
ماذا فيما يخص ضعف التدفق 3g et 4g?راسلتكم في الخاص، ولا رد!!,0,-1.0,dataset_1,0
ندوروها موبليس وخلاص,2,2.0,dataset_2,0
دجيزي شركة محتالة,1,1.0,dataset_3,0
لقد تم الرّد Riyad :),1,0.0,dataset_1,0
الخدمة تاعكم رائعة 😍,2,2.0,augmented,1
اخويا نقلك حاجة وراني نقادرك ياسر موبيليز راشية كيف بلادنا djezzy vs ooredoo لبااقي طيش,1,1.0,dataset_3,0
سلام جماعة جيزي والله غير عيب عليكم حنا في 2020 مزلنا نعانو خدمة رديئة وتغطية ضعيفة جدا في ولاية ڨالمة لازم نكون قريب لنتان تاع جيزي باش نكونكتي وفليل انسا حاجة اسمها انترنت لاكان مكمش قادرين عليها بيعوها وهنونا سوردنا راحو باطل وربحنا غير تكسار الراس نرجو منكم الاهتمام بهذه الولاية وتحسين خدماتكم,0,-1.0,dataset_1,0
Redhwane Med ياو ننصحك اشري اوريدو لاقولد ضرك راني في دار ركبناها في مدام ربعة رانا نكونكتو وعادي متبلوكيش اوريدو مليحة,0,-1.0,dataset_1,0
اعجبني الاشهار مدروس بدقة شريحة جديدة بعروض جديدة 2022,2,2.0,dataset_2,0
تطور ملحوظ في الخدمات أرى انها فرصة جيدة جدا بالتوفيق و شكرا 🤗😍,2,2.0,dataset_2,1
جازي خردة من بكري انا شريت اول بيس في 2005 و نحيتها ف2011 خردة عظيمة فالريزو و والانترنت متحكيش,1,1.0,dataset_3,0
Hadra batel avec djezzy khirmeen youtuube,0,-1.0,dataset_1,0
بركا ما تخرى,0,-1.0,dataset_1,0
سبحان الخيرر,0,0.0,dataset_3,0
يكذب او يخرط نعرفو مليح قالك10ملاين تكذبو علي الحين ولا الموتا🤔🤔😉😉,0,-1.0,dataset_1,0
رقلو ريزو ولانترنات راهي كارثه حقيقيه,1,1.0,dataset_3,0
".ik._.ram._x مرحبا،يجب الغاء تسجيلك في لعبة Instawin من خلال الضغط على الثلاث الخطوط الموجودة أعلى شاشة هاتفك على اليمين، ثم الضغط على "" désinscrire"" زهرة من جازي :)",1,0.0,dataset_1,0
وعلاش يديرو عروض هم ثاني من الشعب مدام حكموا زبائن وديزابوني راضيين بالعروض لي كاينين وكل شهر يروح يخلص ويجدد العرض تاعه فالمشكلة في الشعب,1,1.0,dataset_3,0
علاه راكم تسرقو فهموني,0,1.0,dataset_2,0
A partir de 22h y a plus de connexion,0,-1.0,dataset_1,0
Gaa kifkif donc a quoi bon changer,1,1.0,dataset_3,0
المشكل تاعها الريزو مكانش,1,1.0,dataset_3,0
عندي هايلة بزااف ما فيهاش هذي العروض فيها غير 1200دج و زيد الانترنت ديالها ولات عيانة بزااف,1,1.0,dataset_3,0
ديرو حل لشريحة لا وين كونترول الرقم نحتاجو بصح الخدمات فيها 00 ها خليونا نحولو,0,1.0,dataset_2,0
والله ما تحشمو وجهكم صحيح.أسوء شبكة نقال بالجزائر، هنيئا لكم على هذا الإنجاز,0,-1.0,dataset_1,0
قولي والله يا شكوبي,0,-1.0,dataset_1,0
Rbaht yamat lwala mais après j'ai rien gagné,1,0.0,dataset_1,0
ماحكيتناش على الديبي خاصتا في المساء . شكرا اخي,0,0.0,dataset_3,0
إيه توحشنا قاعدة كما هذي,1,0.0,dataset_1,0
هل لا تزال الشريحة نافيڨي متوفرة في نقاط البيع؟,1,0.0,dataset_2,0
كيفاه ندير باه نشوف ليفوطو بالزيرو تع جيزي 😞😪,1,0.0,dataset_1,0
._usmiste ça dépend les régions .. Ana andi cnx dyalhom 100 fois mieux ala ooredoo w mobils,1,0.0,dataset_1,0
