,Unnamed: 0,Unnamed: 0.1,comment,updated_at,like_count,sentiment
0,0,0.0,بالنسبة لجماعة هايلة بزاف عرض 1200الف اكتيفيه ب امتياز #444*يعطوك 30جيقا ماشي 20جيقا وشكرا خاوتي.........,2020-07-25T13:06:49Z,24.0,0.0
1,1,1.0,نحوها,2022-03-07T17:37:38Z,0.0,0.0
2,2,2.0,ماكسي بيسك بزاف مافيهاش 20g,2021-08-18T18:46:32Z,0.0,1.0
3,3,3.0,انا عندي هايلة و الماكسي و في 2 في حالة..الحل الوحيد هو لازم يدخلو الشركات الاجنبية كيما اورنج طيح عليهم البق سرعة انترنت خرافية و سعر مغري .,2019-11-19T20:01:56Z,11.0,0.0
4,4,4.0, ههههه جيت هنا,2021-10-19T01:45:12Z,0.0,0.0
5,5,5.0,البق ميزغدش عندنا 😅,2021-10-18T23:22:54Z,1.0,0.0
6,6,6.0,انا صارلي نهب كبير فالانترنات  جيزي هايلة معاها تقدر  رآه تحكملي شهر. رجعت تحكم ١٥ يوم فقط,2020-06-28T09:42:42Z,1.0,1.0
7,7,7.0,المشكل لي حيرني ان في رمضان جيزي هايلة ماكسي مكانش فيها ليميتاسيو و سرعت الانترنت كانت طيارة video 1080p كنت نشوفو نورمال,2019-11-19T19:13:32Z,5.0,2.0
8,8,8.0,بدل تصويرة برك,2020-09-30T21:39:55Z,0.0,0.0
9,9,9.0,هل عرض هايلة ماكسي 1500 دج فيه ليميتاسيون ؟؟,2020-09-12T11:08:12Z,0.0,0.0
10,10,10.0,مدام تخفيض سرعة امر غير قانوني علاش ماتشكيش ل صلطات ضبط ولا دير مقاطعة,2019-11-19T20:36:36Z,7.0,1.0
11,11,11.0,اول مرة نلقا واحد في يوتوب يفهم وميكترش لهدرا لمعندها حتي معنا مع محتوى الله يعطيك صحا اخي ✋بارب الله فيك,2021-08-02T00:24:20Z,0.0,0.0
12,12,12.0,سلام عليكم خويا هايلة بزاف شحال تفليكسي 1000 و لا 1500 و هل تضاعف الأنترنت خلال الثلاث الأشهر الأولى فقط؟,2019-11-20T22:44:31Z,4.0,0.0
13,13,13.0,@jeon jojo اختي نسقسيك لبيس تاعك هايلة بزاف تبقا ديما نفس عروض تاع 150 يمدولك 40 جيقا ولا تتبدل بعد 3 شهر  تنقص على  40 جيقا ؟؟,2020-05-15T18:02:54Z,2.0,0.0
14,14,14.0,انا نفليكسي في هايلة بزاف 1500 عجبتني خير من 1200 والنت سريعة وتمشي تقول مودام,2020-05-04T03:46:46Z,1.0,2.0
15,15,15.0,في اوريدو استهلكة 60جيغا في 20يوم<br>وليوم وين شريت دجيزي هايلا بزاف,2020-04-27T13:46:20Z,1.0,2.0
16,16,16.0,انا 40Go تع جيزي كنت نكملها وتخصني. كنت نتيليشارجي افلام يوميا حتى اخر لحظة,2021-01-05T12:04:26Z,0.0,1.0
17,17,17.0,السلام عليكم حبيت نسقسيك خويا عرض  تاع 150 هايلة بزاف  يبقا ديما ولا يتبدل بعد 3 اشهر كي لبيسات لوخرا ؟؟,2020-05-15T17:59:00Z,1.0,0.0
18,18,18.0,عندي كثر من ثلث شهر ونا نستعمل فيه لعرض تع 150 الف فيه 3000 هدرة و 40GB  ولسماس  هذي لي عندي جيزي عرض تع هايلة بزاف<br>بصح ضعيفة لكونيكسيو تحيا هايلة ماكسي كونيكسيو روعة واليوتيوب ميڨريش صاحبي و HD,2020-05-21T21:10:19Z,4.0,2.0
19,19,19.0,يخلاص الشهر ويبقاولي لي جيڨا بزاف هل كاين عفسة نقدر نحكم هذوك لي جيڨا ونقدر نستعلهم من بعد ما يخلاص الشهر؟؟,2021-12-18T14:13:43Z,0.0,0.0
20,20,20.0,😂😂شهر الدول كليت 40 go غلق هالي 😂,2020-11-26T22:55:45Z,0.0,1.0
21,21,21.0,😂😂شهر الدول كليت 40 go غلق هالي 😂,2020-11-26T22:55:50Z,1.0,1.0
22,22,22.0,خويا انا ماشي يوتوبير بصح اوريدو 20 جيغا راحت في 10 ايام  ربي وكيلهم,2021-06-16T17:10:59Z,1.0,1.0
